London,8.3,8.5,11.4,14.2,17.7,20.7,23.2,22.9,19.7,15.6,11.4,8.6	
Edinburgh,6.8,7.2,9.2,11.5,14.6,17.3,19.3,19.1,16.6,12.9,9.4,6.9
Durham,6.6,7.2,9.5,11.9,15.0,17.6,20.1,19.8,17.2,13.3,9.4,6.7
Oxford,7.6,8.0,10.9,13.6,17.1,20.3,22.7,22.3,19.1,14.8,10.5,7.7
Cambridge,7.3,7.7,10.6,13.3,16.9,19.9,22.8,22.6,19.3,14.9,10.3,7.5
Cardiff,8.3,8.6,11.1,13.8,17.1,19.8,21.7,21.5,18.8,14.9,11.3,8.7
Manchester,7.3,7.6,10.0,12.6,16.1,18.6,20.6,20.3,17.6,13.9,10.0,7.4
Belfast,7.1,7.5,9.5,11.9,15.0,17.4,19.0,18.6,16.4,12.9,9.5,7.4
Newquay,8.7,8.6,10.1,12.0,14.8,17.2,19.0,19.1,17.4,14.4,11.4,9.3
Lerwick,5.9,5.5,6.4,8.1,10.4,12.4,14.3,14.5,12.8,10.2,7.8,6.3
Eastbourne,8.1,8.0,10.1,12.6,15.8,18.4,20.6,20.9,18.7,15.3,11.6,8.9
