 	Max 	Min     Frost	Sun 	Rainfall >= 1mm	Wind at 10 m
Month	[°C]	[°C]	[days]	[hours]	[mm]	[days]	[knots]
Greenwich
Jan	8.3	2.6	6.6	49.9	51.6	10.8	N/A
Feb	8.5	2.4	7.6	71.4	38.2	8.5	N/A
Mar	11.4	4.1	2.8	107.1	40.5	9.6	N/A
Apr	14.2	5.4	0.8	159.8	45.0	9.4	N/A
May	17.7	8.4	0.1	181.2	46.5	9.0	N/A
Jun	20.7	11.5	0.0	181.0	47.3	8.3	N/A
Jul	23.2	13.9	0.0	192.1	41.1	8.0	N/A
Aug	22.9	13.7	0.0	195.1	51.6	7.6	N/A
Sep	19.7	11.2	0.0	138.9	50.4	8.5	N/A
Oct	15.6	8.3	0.4	108.1	68.8	10.7	N/A
Nov	11.4	5.1	2.7	58.5	58.0	10.1	N/A
Dec	8.6	2.8	7.6	37.4	53.0	9.9	N/A
Edinburgh
Jan	6.8	0.8	11.0	49.5	72.6	12.8	N/A
Feb	7.2	1.0	10.4	78.3	52.5	9.3	N/A
Mar	9.2	2.2	6.9	114.6	52.8	9.9	N/A
Apr	11.5	3.8	3.3	147.0	42.5	8.5	N/A
May	14.6	6.2	0.7	191.2	50.9	9.8	N/A
Jun	17.3	9.0	0.0	171.0	59.8	9.6	N/A
Jul	19.3	10.8	0.0	173.5	66.4	9.9	N/A
Aug	19.1	10.7	0.0	160.0	60.9	9.8	N/A
Sep	16.6	8.8	0.2	128.6	63.1	10.3	N/A
Oct	12.9	6.0	2.0	100.8	78.3	12.9	N/A
Nov	9.4	3.2	6.5	65.9	65.8	11.4	N/A
Dec	6.9	0.8	11.8	40.4	64.5	11.3	N/A
Durham
Jan	6.6	0.9	11.3	58.6	52.3	11.4	8.3
Feb	7.2	0.9	11.2	80.3	41.8	9.3	7.6
Mar	9.5	2.3	6.7	115.5	44.6	9.7	7.2
Apr	11.9	3.7	3.9	150.3	52.7	9.5	5.6
May	15.0	6.1	0.8	181.7	44.2	9.2	5.0
Jun	17.6	9.0	0.0	164.8	55.4	9.7	4.8
Jul	20.1	11.1	0.0	172.3	54.0	9.0	4.8
Aug	19.8	11.0	0.0	167.3	60.8	9.6	4.8
Sep	17.2	9.0	0.0	134.5	55.4	9.3	5.4
Oct	13.3	6.3	1.6	102.8	60.9	11.3	5.9
Nov	9.4	3.4	4.8	66.4	72.0	12.3	6.3
Dec	6.7	1.1	11.0	51.2	57.0	11.7	6.6
Year	12.9	5.4	51.5	1445.4	651.1	122.0	6.0
Oxford
Jan	7.6	2.1	8.5	62.5	56.6	11.5	N/A
Feb	8.0	1.8	9.1	78.9	42.5	8.9	N/A
Mar	10.9	3.7	3.8	111.2	47.6	10.1	N/A
Apr	13.6	5.0	1.7	160.9	49.1	9.1	N/A
May	17.1	7.9	0.1	192.9	57.1	9.7	N/A
Jun	20.3	10.9	0.0	191.0	48.0	8.0	N/A
Jul	22.7	13.0	0.0	207.0	48.9	7.9	N/A
Aug	22.3	12.9	0.0	196.5	56.5	8.1	N/A
Sep	19.1	10.7	0.0	141.2	54.1	9.1	N/A
Oct	14.8	7.8	0.9	111.3	69.6	10.9	N/A
Nov	10.5	4.6	4.0	70.7	66.6	11.3	N/A
Dec	7.7	2.3	9.1	53.8	63.1	10.9	N/A
Year	14.6	6.9	37.1	1577.9	659.7	115.5	N/A
Cambridge
Jan	7.3	1.6	9.4	58.3	46.6	10.5	N/A
Feb	7.7	1.3	9.9	77.1	34.5	8.0	N/A
Mar	10.6	3.1	5.2	110.7	38.3	9.6	N/A
Apr	13.3	4.3	2.8	152.5	41.2	8.8	N/A
May	16.9	7.1	0.4	179.4	46.0	8.0	N/A
Jun	19.9	10.2	0.0	176.7	51.5	8.9	N/A
Jul	22.8	12.4	0.0	187.6	47.5	8.3	N/A
Aug	22.6	12.4	0.0	182.6	50.8	8.0	N/A
Sep	19.3	10.4	0.0	139.5	53.5	8.4	N/A
Oct	14.9	7.6	1.0	113.9	59.0	9.4	N/A
Nov	10.3	4.2	4.3	66.7	52.8	9.8	N/A
Dec	7.5	1.9	9.8	49.3	46.4	9.8	N/A
Cardiff
Jan	8.3	2.3	8.1	54.4	121.6	15.7	N/A
Feb	8.6	2.1	8.5	75.9	85.2	11.1	N/A
Mar	11.1	4.0	3.7	111.9	89.8	13.0	N/A
Apr	13.8	5.2	1.8	169.6	68.6	11.1	N/A
May	17.1	8.3	0.0	190.6	72.3	11.2	N/A
Jun	19.8	11.0	0.0	190.0	66.6	10.1	N/A
Jul	21.7	13.1	0.0	199.0	78.4	10.7	N/A
Aug	21.5	12.8	0.0	190.7	93.4	11.0	N/A
Sep	18.8	10.5	0.0	149.6	94.0	11.0	N/A
Oct	14.9	7.7	1.2	103.0	133.5	15.5	N/A
Nov	11.3	4.6	4.1	65.8	123.4	14.5	N/A
Dec	8.7	2.6	8.3	48.9	125.3	13.9	N/A
Manchester
Jan	7.3	1.7	8.9	52.5	72.3	13.1	9.1
Feb	7.6	1.6	9.8	73.9	51.4	9.7	8.9
Mar	10.0	3.3	4.9	99.0	61.2	12.3	9.1
Apr	12.6	4.9	2.1	146.9	54.0	11.2	8.0
May	16.1	7.7	0.1	188.3	56.8	10.4	7.9
Jun	18.6	10.5	0.0	172.5	66.1	11.1	7.0
Jul	20.6	12.6	0.0	179.7	63.9	10.9	6.9
Aug	20.3	12.4	0.0	166.3	77.0	12.0	6.8
Sep	17.6	10.3	0.0	131.2	71.5	11.1	7.1
Oct	13.9	7.4	1.1	99.3	92.5	13.6	7.9
Nov	10.0	4.2	4.5	59.5	81.5	14.1	7.9
Dec	7.4	1.8	9.3	47.1	80.7	13.5	8.1
Belfast
Jan	7.1	1.7	8.6	49.7	80.3	14.8	10.3
Feb	7.5	1.6	8.2	71.2	57.7	12.1	10.2
Mar	9.5	2.9	5.0	102.5	67.0	14.0	9.9
Apr	11.9	4.3	2.7	153.3	58.0	11.4	8.6
May	15.0	6.8	0.4	197.7	57.3	11.7	8.3
Jun	17.4	9.7	0.0	167.9	61.5	11.3	7.9
Jul	19.0	11.7	0.0	151.3	71.4	12.9	7.7
Aug	18.6	11.4	0.0	142.1	83.8	13.9	7.5
Sep	16.4	9.5	0.0	119.9	75.6	12.6	8.1
Oct	12.9	6.9	0.9	91.2	89.6	14.4	9.0
Nov	9.5	4.0	3.6	59.4	79.7	14.4	9.0
Dec	7.4	2.1	7.6	46.2	79.3	14.0	9.0
Newquay
Jan	8.7	4.1	4.1	66.6	108.7	16.0	13.4
Feb	8.6	3.7	4.1	86.4	79.2	12.2	12.8
Mar	10.1	5.0	1.3	125.0	74.9	13.4	12.4
Apr	12.0	6.0	0.3	194.2	64.9	11.3	10.7
May	14.8	8.6	0.0	220.5	64.9	10.4	10.3
Jun	17.2	11.2	0.0	216.1	62.4	9.3	9.5
Jul	19.0	13.4	0.0	207.7	70.1	11.4	9.5
Aug	19.1	13.5	0.0	202.6	66.6	11.2	9.4
Sep	17.4	11.8	0.0	164.1	77.2	11.4	10.1
Oct	14.4	9.5	0.0	117.2	112.3	15.9	11.9
Nov	11.4	6.8	0.7	79.2	124.5	16.6	12.1
Dec	9.3	4.6	3.1	63.2	111.7	15.8	12.8
Lerwick
Jan	5.9	1.8	7.5	27.2	142.6	21.6	18.1
Feb	5.5	1.5	7.6	55.2	120.8	18.5	17.3
Mar	6.4	2.0	6.4	94.1	124.6	19.9	16.5
Apr	8.1	3.5	3.2	131.8	70.4	14.1	13.9
May	10.4	5.4	0.3	181.0	53.4	10.8	12.4
Jun	12.4	7.7	0.0	146.2	58.2	11.0	11.8
Jul	14.3	9.9	0.0	124.4	66.8	12.1	11.1
Aug	14.5	10.2	0.0	127.9	83.7	12.9	11.4
Sep	12.8	8.7	0.0	101.3	106.3	16.7	13.8
Oct	10.2	6.4	0.3	68.8	141.5	20.8	15.7
Nov	7.8	3.9	2.8	33.8	146.0	21.4	16.4
Dec	6.3	2.2	7.0	18.1	142.6	21.8	16.0
Eastbourne
Jan	8.1	3.8	5.1	70.5	81.0	12.4	N/A
Feb	8.0	3.3	4.8	89.7	53.9	9.8	N/A
Mar	10.1	4.7	1.6	127.7	58.8	9.6	N/A
Apr	12.6	6.3	0.2	198.1	48.7	8.4	N/A
May	15.8	9.5	0.0	232.8	49.0	8.4	N/A
Jun	18.4	12.2	0.0	239.8	47.2	7.0	N/A
Jul	20.6	14.6	0.0	253.3	48.9	7.4	N/A
Aug	20.9	14.7	0.0	236.7	51.6	7.4	N/A
Sep	18.7	12.6	0.0	172.0	64.1	8.9	N/A
Oct	15.3	10.0	0.0	124.5	104.9	11.9	N/A
Nov	11.6	6.7	0.9	83.7	95.9	11.8	N/A
Dec	8.9	4.3	4.1	59.2	90.8	12.1	N/A
